RA,Nome Anonimizado,Idade,Gênero,Ano ingresso,Fase,Turma,Instituição de ensino,PEDRA_CLASSIFICACAO,INDE_2024_CLEAN,IAN,IDA,IEG,IAA,IPS,IPP,IPV,Defasagem,Ativo/ Inativo,INDE 22,INDE 23,Pedra 22,Pedra 23,ANOS_NA_PM,RISCO_DEFASAGEM
RA-1423,Aluno-1423,11,Masculino,2024,1J,1J,Pública,Agata,6.403450000000001,5.0,5.75,5.3125,8.502,7.51,7.8125,6.5425,-1,Cursando,,,,,0,0
RA-733,Aluno-733,10,Feminino,2022,1J,1J,Pública,Topázio,8.808825,5.0,9.25,10.0,10.002,7.51,8.90625,9.085,-1,Cursando,6.683821329434698,8.3342,Ágata,Topázio,2,0
RA-836,Aluno-836,11,Masculino,2022,1J,1J,Pública,Agata,6.0234537878,5.0,2.75,6.439393939,9.502,7.51,7.34375,6.25,-1,Cursando,7.664923985754986,7.6417,Ametista,Ametista,2,0
RA-1424,Aluno-1424,12,Feminino,2024,1J,1J,Pública,Ametista,7.5543388889,5.0,7.25,8.9444444445,9.002,7.51,7.8125,6.915,-1,Cursando,,,,,0,0
RA-1425,Aluno-1425,12,Masculino,2024,1J,1J,Pública,Agata,6.8290988095000005,5.0,7.0,6.7976190475,9.002,7.51,7.34375,5.92,-1,Cursando,,,,,0,0
RA-1426,Aluno-1426,11,Feminino,2023,1J,1J,Pública,Quartzo,5.8367476190000005,5.0,2.75,5.845238095,9.502,7.51,7.5,5.8325,-1,Cursando,,,,,1,0
RA-716,Aluno-716,11,Masculino,2022,1J,1J,Pública,Agata,6.2372943675000005,5.0,5.75,5.5335968375,9.002,7.51,6.71875,5.7875,-1,Cursando,6.524519230769231,6.813366667,Ágata,Agata,2,0
RA-1049,Aluno-1049,11,Masculino,2023,1J,1J,Pública,Agata,6.821885606,5.0,4.5,8.03030303,9.502,7.51,7.65625,6.745,-1,Cursando,,7.443366667,,Ametista,1,0
RA-1427,Aluno-1427,11,Feminino,2024,1J,1J,Pública,Topázio,8.425325,5.0,8.0,10.0,9.502,7.51,8.90625,8.6675,-1,Cursando,,,,,0,0
RA-1052,Aluno-1052,10,Masculino,2023,1J,1J,Pública,Ametista,7.744032575800001,5.0,8.25,9.128787879,5.834,6.26,8.59375,8.4975,-1,Cursando,,6.960333333,,Agata,1,0
RA-719,Aluno-719,12,Masculino,2021,1J,1J,Pública,Ametista,7.1193969697,5.0,6.5,7.3484848485,10.002,7.51,7.5,6.7425,-1,Cursando,5.552244923076923,6.4137,Quartzo,Agata,3,0
RA-1055,Aluno-1055,12,Masculino,2023,1J,1J,Pública,Agata,6.403040909100001,5.0,5.5,5.7954545455,10.002,7.51,7.1875,5.87,-2,Cursando,,5.9765,,Quartzo,1,0
RA-747,Aluno-747,12,Feminino,2022,1K,1K,Pública,Quartzo,5.8450809523,5.0,2.25,8.095238095,10.002,5.005,7.083333333,5.335,-2,Cursando,7.675509353106849,6.026366667,Ametista,Agata,2,0
RA-928,Aluno-928,9,Feminino,2023,1K,1K,Pública,Topázio,8.8733666667,10.0,8.75,10.0,8.002,7.51,8.541666667,8.59,0,Cursando,,9.3712,,Topázio,1,0
RA-748,Aluno-748,11,Masculino,2021,1K,1K,Pública,Topázio,8.2272,5.0,7.75,10.0,9.502,7.51,8.75,8.005,-1,Cursando,8.083535682039548,8.7142,Topázio,Topázio,3,0
RA-769,Aluno-769,11,Feminino,2022,1K,1K,Pública,Ametista,7.099342857200002,5.0,6.0,5.9523809525,10.002,7.51,7.916666667,8.33,-1,Cursando,7.598297219273481,7.85345,Ametista,Ametista,2,0
RA-876,Aluno-876,9,Masculino,2023,1K,1K,Pública,Ametista,7.612057142800001,10.0,3.75,9.0476190475,8.502,7.51,8.333333333,8.09,0,Cursando,,8.6492,,Topázio,1,0
RA-776,Aluno-776,11,Feminino,2022,1K,1K,Pública,Quartzo,5.178509523800001,5.0,0.0,5.9523809525,7.917,5.63,8.333333333,6.5,-1,Cursando,3.8980647821350765,5.567916667,Quartzo,Quartzo,2,0
RA-753,Aluno-753,10,Feminino,2022,1K,1K,Pública,Topázio,8.2450571429,5.0,8.5,9.047619048,10.002,7.51,8.333333333,8.255,-1,Cursando,8.480834141954665,8.6672,Topázio,Topázio,2,0
RA-601,Aluno-601,10,Masculino,2021,1K,1K,Pública,Topázio,8.5107,5.0,8.75,10.0,9.502,7.505,8.75,8.425,-1,Cursando,7.71314478904992,8.955783333,Ametista,Topázio,3,0
RA-955,Aluno-955,11,Feminino,2023,1K,1K,Pública,Agata,6.245452381,5.0,5.75,6.904761905,0.0,7.51,8.125,8.255,-1,Cursando,,7.1297,,Ametista,1,0
RA-831,Aluno-831,10,Masculino,2022,1K,1K,Pública,Topázio,8.0066285715,5.0,7.75,9.523809524,10.002,6.26,7.916666667,8.17,-1,Cursando,7.4100721416504225,7.71645,Ametista,Ametista,2,0
RA-1067,Aluno-1067,11,Masculino,2023,1K,1K,Pública,Ametista,7.840033333300001,5.0,6.75,8.333333332999999,10.002,7.51,8.541666667,8.59,-1,Cursando,,6.541458333,,Agata,1,0
RA-1058,Aluno-1058,10,Feminino,2023,1K,1K,Pública,Ametista,7.703347619,5.0,7.75,8.095238095,9.168,6.88,8.125,8.085,-1,Cursando,,7.356533333,,Ametista,1,0
RA-757,Aluno-757,11,Feminino,2022,1K,1K,Pública,Ametista,7.938842857200001,5.0,7.0,9.285714286000001,9.502,7.51,8.125,8.34,-1,Cursando,8.259535082249474,8.6742,Topázio,Topázio,2,0
RA-794,Aluno-794,10,Feminino,2022,1K,1K,Pública,Ametista,7.145652380900001,10.0,3.0,6.9047619045,9.502,7.51,8.125,8.255,0,Cursando,7.334936230769231,7.9842,Ametista,Ametista,2,0
RA-960,Aluno-960,11,Masculino,2023,1K,1K,Pública,Quartzo,5.286047619,5.0,3.0,8.095238095,0.0,7.51,7.5,5.33,-1,Cursando,,7.0847,,Ametista,1,0
RA-587,Aluno-587,12,Masculino,2022,1L,1L,Pública,Agata,6.817057142900001,5.0,6.25,7.380952381,9.002,7.51,7.916666667,5.74,-2,Cursando,6.631987865319865,6.032033333,Ágata,Agata,2,0
RA-826,Aluno-826,10,Masculino,2022,1L,1L,Pública,Ametista,7.9442,5.0,6.75,10.0,10.002,6.26,7.5,8.59,-1,Cursando,7.775658894736842,7.77645,Ametista,Ametista,2,0
RA-789,Aluno-789,9,Feminino,2022,1L,1L,Pública,Topázio,8.0443904763,10.0,5.25,9.047619048,9.002,7.51,9.166666667,8.085,0,Cursando,7.405336262443439,7.974,Ametista,Ametista,2,0
RA-1056,Aluno-1056,10,Masculino,2023,1L,1L,Pública,Topázio,8.192009523800001,5.0,8.25,9.2857142855,8.502,7.51,9.166666667,8.335,-1,Cursando,,8.551741667,,Topázio,1,0
RA-1428,Aluno-1428,10,Masculino,2024,1L,1L,Pública,Topázio,8.006108496800001,5.0,8.0,8.8562091505,8.502,7.51,9.166666667,8.085,-1,Cursando,,,,,0,0
RA-830,Aluno-830,11,Feminino,2022,1L,1L,Pública,Ametista,7.1373428571,5.0,6.75,7.619047619,9.002,5.63,8.333333333,7.335,-1,Cursando,7.234398335932424,6.78,Ametista,Agata,2,0
RA-780,Aluno-780,11,Feminino,2022,1L,1L,Pública,Ametista,7.7430333333,5.0,6.0,10.0,9.502,5.63,8.958333333,8.17,-1,Cursando,6.954987237893207,7.7842,Ágata,Ametista,2,0
RA-1057,Aluno-1057,10,Feminino,2023,1L,1L,Pública,Topázio,8.2352,5.0,8.0,10.0,10.002,6.26,8.75,8.17,-1,Cursando,,8.4827,,Topázio,1,0
RA-1062,Aluno-1062,10,Masculino,2023,1L,1L,Pública,Ametista,7.6147238096,5.0,7.25,9.047619048,8.002,5.63,8.75,8.085,-1,Cursando,,7.448841667,,Ametista,1,0
RA-1429,Aluno-1429,11,Masculino,2024,1L,1L,Pública,Topázio,8.041811111100001,5.0,7.75,8.888888889,9.502,7.51,8.958333333,8.085,-1,Cursando,,,,,0,0
RA-1430,Aluno-1430,11,Masculino,2024,1L,1L,Pública,Ametista,7.864033333300001,5.0,6.25,10.0,8.502,7.51,8.958333333,8.085,-1,Cursando,,,,,0,0
RA-767,Aluno-767,12,Masculino,2021,1L,1L,Pública,Topázio,8.131890476200002,5.0,8.25,9.0476190475,9.502,7.51,8.541666667,8.085,-2,Cursando,7.510987800569801,7.3807,Ametista,Ametista,3,0
RA-943,Aluno-943,9,Feminino,2023,1L,1L,Pública,Topázio,8.965033333300001,10.0,8.0,10.0,10.002,7.51,8.958333333,8.59,0,Cursando,,8.9172,,Topázio,1,0
RA-782,Aluno-782,10,Masculino,2022,1L,1L,Pública,Topázio,8.1896285714,10.0,7.75,7.8571428569999995,9.502,7.51,7.5,8.085,0,Cursando,7.484593745480259,7.6812,Ametista,Ametista,2,0
RA-795,Aluno-795,10,Feminino,2022,1L,1L,Pública,Topázio,8.441414285700002,5.0,9.5,9.761904762,9.502,6.26,8.958333333,8.085,-1,Cursando,8.064310288084464,8.4642,Topázio,Topázio,2,0
RA-1431,Aluno-1431,11,Feminino,2024,1M,1M,Pública,Ametista,7.9147292443,5.0,8.0,7.7432712215,9.002,7.51,7.96875,9.09,-1,Cursando,,,,,0,0
RA-1432,Aluno-1432,10,Feminino,2024,1M,1M,Pública,Topázio,8.774075000000002,5.0,9.5,10.0,10.002,7.51,9.21875,8.505,-1,Cursando,,,,,0,0
RA-1433,Aluno-1433,10,Feminino,2024,1M,1M,Pública,Topázio,8.1939895962,5.0,8.75,9.068322981,8.502,7.51,8.28125,8.505,-1,Cursando,,,,,0,0
RA-1434,Aluno-1434,10,Masculino,2024,1M,1M,Pública,Topázio,8.2775982919,5.0,9.0,7.9813664595,8.502,6.26,9.53125,9.76,-1,Cursando,,,,,0,0
RA-958,Aluno-958,9,Feminino,2023,1M,1M,Pública,Topázio,9.531325,10.0,10.0,10.0,10.002,6.26,9.53125,9.76,0,Cursando,,9.2902,,Topázio,1,0
RA-961,Aluno-961,10,Masculino,2023,1M,1M,Pública,Agata,6.529417908900001,5.0,5.5,8.8923395445,9.002,6.26,5.9375,5.155,-1,Cursando,,5.99625,,Quartzo,1,0
RA-1435,Aluno-1435,10,Masculino,2024,1M,1M,Pública,Ametista,7.7196166667,10.0,7.5,7.833333333500001,9.502,7.51,7.1875,6.165,0,Cursando,,,,,0,0
RA-755,Aluno-755,10,Masculino,2022,1M,1M,Pública,Topázio,8.925450000000001,5.0,9.75,10.0,10.002,7.51,9.0625,9.09,-1,Cursando,8.565661700730832,8.7442,Topázio,Topázio,2,0
RA-1436,Aluno-1436,11,Feminino,2024,1M,1M,Pública,Ametista,7.589914648100001,5.0,8.0,8.674948240500001,7.418,7.51,8.28125,7.17,-1,Cursando,,,,,0,0
RA-1437,Aluno-1437,11,Feminino,2024,1M,1M,Pública,Ametista,7.982890217400001,5.0,8.0,9.347826087,8.502,7.51,8.28125,7.92,-1,Cursando,,,,,0,0
RA-1438,Aluno-1438,10,Feminino,2024,1M,1M,Pública,Topázio,8.176825000000001,5.0,7.0,9.0,10.002,7.51,8.90625,9.175,-1,Cursando,,,,,0,0
RA-1439,Aluno-1439,11,Feminino,2024,1M,1M,Pública,Topázio,8.507700000000002,5.0,8.5,10.0,7.502,7.51,9.375,9.345,-1,Cursando,,,,,0,0
RA-1440,Aluno-1440,10,Feminino,2024,1M,1M,Pública,Ametista,7.469102691500001,5.0,4.5,9.544513457499999,9.002,7.51,8.75,8.17,-1,Cursando,,,,,0,0
RA-1441,Aluno-1441,9,Masculino,2024,1M,1M,Pública,Topázio,8.961646169800002,10.0,8.5,9.109730849,9.502,7.51,9.375,9.005,0,Cursando,,,,,0,0
RA-1442,Aluno-1442,13,Masculino,2024,1M,1M,Pública,Ametista,7.135189648100001,5.0,7.25,8.674948240500001,8.002,7.51,7.5,5.745,-2,Cursando,,,,,0,0
RA-1443,Aluno-1443,13,Feminino,2024,1N,1N,Pública,Agata,6.921633333300001,5.0,6.75,7.5,6.918,6.26,7.708333333,7.415,-2,Cursando,,,,,0,0
RA-1444,Aluno-1444,11,Masculino,2024,1N,1N,Pública,Agata,6.610588888900001,5.0,6.0,5.277777778,8.502,7.51,7.708333333,7.415,-1,Cursando,,,,,0,0
RA-956,Aluno-956,12,Masculino,2023,1N,1N,Pública,Agata,6.1175906455,5.0,3.25,6.017786561,9.502,6.885,7.083333333,7.085,-1,Cursando,,7.7312,,Ametista,1,0
RA-952,Aluno-952,9,Masculino,2023,1N,1N,Pública,Topázio,8.853624242300002,10.0,8.5,9.545454545,9.502,6.26,8.333333333,9.175,0,Cursando,,8.37095,,Topázio,1,0
RA-939,Aluno-939,12,Feminino,2023,1N,1N,Pública,Ametista,7.051379841899999,5.0,5.0,8.8833992095,9.002,5.63,8.125,7.495,-1,Cursando,,7.9742,,Ametista,1,0
RA-953,Aluno-953,9,Feminino,2023,1N,1N,Pública,Ametista,7.961241502000001,10.0,8.5,6.85770751,9.002,6.26,8.125,7.755,0,Cursando,,7.54005,,Ametista,1,0
RA-954,Aluno-954,9,Feminino,2023,1N,1N,Pública,Topázio,8.2823798419,10.0,7.75,8.8833992095,9.502,6.26,8.125,7.835,0,Cursando,,6.82375,,Agata,1,0
RA-792,Aluno-792,11,Feminino,2022,1N,1N,Pública,Agata,6.036012253,5.0,3.25,5.2865612650000005,8.502,7.51,8.125,7.075,-1,Cursando,7.02532017948718,7.6267,Ágata,Ametista,2,0
RA-1000,Aluno-1000,9,Feminino,2023,1N,1N,Pública,Topázio,8.364790909100002,10.0,7.75,9.5454545455,9.002,6.26,8.125,7.835,0,Cursando,,7.9162,,Ametista,1,0
RA-763,Aluno-763,11,Feminino,2021,1N,1N,Pública,Agata,6.984760606,5.0,5.25,8.8636363635,9.002,6.26,7.708333333,6.825,-1,Cursando,7.401904937321937,6.7215,Ametista,Agata,3,0
RA-1001,Aluno-1001,10,Feminino,2023,1N,1N,Pública,Ametista,7.7964318841,5.0,7.75,9.347826087,7.502,7.51,7.916666667,7.92,-1,Cursando,,8.1162,,Topázio,1,0
RA-1445,Aluno-1445,10,Feminino,2024,1N,1N,Pública,Ametista,7.842866666700001,5.0,7.25,9.5,9.502,7.51,7.916666667,7.5,-1,Cursando,,,,,0,0
RA-1446,Aluno-1446,9,Masculino,2024,1N,1N,Pública,Quartzo,5.9004061924,10.0,0.0,6.6501976285,8.002,6.26,7.291666667,7.075,0,Cursando,,,,,0,0
RA-768,Aluno-768,12,Feminino,2021,1N,1N,Pública,Ametista,7.0345379447,5.0,5.5,7.9841897235,9.002,6.26,8.125,7.495,-1,Cursando,7.645834666666667,8.4042,Ametista,Topázio,3,0
RA-1447,Aluno-1447,11,Feminino,2024,1N,1N,Pública,Ametista,7.5402350878,5.0,5.25,9.7368421055,9.502,7.51,7.916666667,7.75,-1,Cursando,,,,,0,0
RA-980,Aluno-980,9,Feminino,2023,1P,1P,Pública,Ametista,7.946388311600001,10.0,6.25,9.058441558,9.002,7.51,7.5,7.4175,0,Cursando,,7.1425,,Ametista,1,0
RA-982,Aluno-982,8,Masculino,2023,1P,1P,Pública,Topázio,8.119860173100001,10.0,8.25,8.365800865499999,10.002,7.51,6.875,6.79,0,Cursando,,7.1215,,Ametista,1,0
RA-1448,Aluno-1448,13,Feminino,2024,1P,1P,Pública,Ametista,7.466126406900001,5.0,6.0,9.5346320345,9.002,7.51,7.5,7.29,-2,Cursando,,,,,0,0
RA-1070,Aluno-1070,12,Masculino,2023,1P,1P,Pública,Agata,6.287171861500001,5.0,2.25,9.3073593075,9.002,5.635,6.875,6.6225,-1,Cursando,,6.939033333,,Agata,1,0
RA-985,Aluno-985,9,Masculino,2023,1P,1P,Pública,Topázio,8.2432,10.0,7.5,10.0,8.502,6.26,7.5,7.585,0,Cursando,,7.6247,,Ametista,1,0
RA-986,Aluno-986,9,Feminino,2023,1P,1P,Pública,Topázio,8.2603406926,10.0,8.5,9.2965367965,10.002,6.26,7.083333333,6.8325,0,Cursando,,8.0107,,Topázio,1,0
RA-810,Aluno-810,10,Masculino,2021,1P,1P,Pública,Ametista,7.704770175400001,5.0,9.0,9.4736842105,7.502,5.635,6.458333333,7.7525,-1,Cursando,7.886571512820513,7.782866667,Ametista,Ametista,3,0
RA-987,Aluno-987,9,Masculino,2023,1P,1P,Pública,Topázio,8.3028861472,10.0,7.5,9.0692640695,9.002,7.51,7.708333333,7.835,0,Cursando,,7.6765,,Ametista,1,0
RA-988,Aluno-988,10,Feminino,2023,1P,1P,Pública,Topázio,8.1765333333,5.0,7.75,10.0,9.502,7.51,8.333333333,7.96,-1,Cursando,,7.9568,,Ametista,1,0
RA-805,Aluno-805,10,Masculino,2021,1R,1R,Pública,Agata,6.9375869048,5.0,6.0,9.523809524,8.502,4.38,7.03125,6.7075,-1,Cursando,8.27865517948718,6.492,Topázio,Agata,3,0
RA-806,Aluno-806,10,Masculino,2022,1R,1R,Pública,Agata,6.972777380900001,5.0,6.75,6.9047619045,8.502,7.51,7.65625,6.875,-1,Cursando,7.560770897435898,7.2937,Ametista,Ametista,2,0
RA-807,Aluno-807,10,Masculino,2022,1R,1R,Pública,Ametista,7.797628571400001,10.0,7.0,7.8571428569999995,9.002,7.51,7.5,7.125,0,Cursando,8.121155846153847,7.8632,Topázio,Ametista,2,0
RA-808,Aluno-808,10,Masculino,2022,1R,1R,Pública,Topázio,8.7897,10.0,8.75,10.0,9.002,7.51,8.125,7.88,0,Cursando,8.361187897435897,8.1932,Topázio,Topázio,2,0
RA-963,Aluno-963,10,Feminino,2023,1R,1R,Pública,Topázio,8.375080952400001,10.0,7.5,9.761904762,7.502,7.51,8.125,8.045,0,Cursando,,8.6142,,Topázio,1,0
RA-989,Aluno-989,10,Masculino,2023,1R,1R,Pública,Ametista,7.3743785714,10.0,6.0,7.8571428569999995,9.502,6.26,7.1875,6.54,0,Cursando,,7.7242,,Ametista,1,0
RA-964,Aluno-964,10,Masculino,2023,1R,1R,Pública,Ametista,7.548241666600001,5.0,7.25,8.333333332999999,9.502,7.51,7.96875,7.1675,-1,Cursando,,7.7997,,Ametista,1,0
RA-1449,Aluno-1449,10,Feminino,2024,1R,1R,Pública,Ametista,7.214341666700001,5.0,6.75,8.3333333335,7.418,7.51,7.96875,7.04,-1,Cursando,,,,,0,0
RA-801,Aluno-801,10,Masculino,2022,1R,1R,Pública,Agata,6.6752,5.0,8.0,5.75,9.002,7.51,6.25,5.745,-1,Cursando,6.6443414183535765,6.8735,Ágata,Agata,2,0
RA-1450,Aluno-1450,9,Masculino,2024,1R,1R,Pública,Ametista,7.405235714200002,10.0,3.5,8.571428571,9.502,7.51,7.8125,7.5425,0,Cursando,,,,,0,0
RA-984,Aluno-984,9,Feminino,2023,1R,1R,Pública,Topázio,8.475080952400003,10.0,7.0,9.761904762,9.502,7.51,8.125,8.045,0,Cursando,,8.8177,,Topázio,1,0
RA-1451,Aluno-1451,11,Feminino,2024,1R,1R,Pública,Ametista,7.560479761900002,5.0,6.0,8.8095238095,10.002,7.51,7.96875,7.7525,-1,Cursando,,,,,0,0
RA-967,Aluno-967,11,Masculino,2023,1R,1R,Pública,Quartzo,5.442610714300001,5.0,4.75,3.5714285715,9.502,7.51,5.78125,4.995,-1,Cursando,,7.1347,,Ametista,1,0
RA-968,Aluno-968,10,Feminino,2023,1R,1R,Pública,Ametista,7.8403547619000005,5.0,7.75,8.8095238095,9.002,7.51,8.4375,7.6675,-1,Cursando,,8.4942,,Topázio,1,0
RA-521,Aluno-521,11,Masculino,2022,2A,2A,Privada,Ametista,7.4798428571999995,10.0,6.25,9.0357142855,8.002,5.005,6.666666667,7.276666667,0,Cursando,7.725002,6.768666667,Ametista,Agata,2,0
RA-821,Aluno-821,11,Masculino,2022,2A,2A,Pública,Agata,6.643866666600001,10.0,4.25,5.9166666665,8.502,7.51,6.666666667,6.713333333,0,Cursando,6.342157529411765,,Ágata,,2,0
RA-1075,Aluno-1075,13,Feminino,2023,2A,2A,Pública,Agata,6.8100812324,5.0,6.0,8.5154061625,7.5,3.755,7.708333333,7.553333333,-1,Cursando,,6.591333333,,Agata,1,0
RA-1048,Aluno-1048,11,Feminino,2023,2A,2A,Privada,Ametista,7.5198666666000005,10.0,6.25,6.833333333500001,8.502,6.255,7.708333333,8.283333333,1,Cursando,,7.811366667,,Ametista,1,1
RA-1082,Aluno-1082,13,Feminino,2023,2A,2A,Pública,Agata,6.6114857142,5.0,3.75,7.5714285715,7.502,10.0,7.083333333,6.943333333,-1,Cursando,,7.1617,,Ametista,1,0
RA-680,Aluno-680,12,Feminino,2021,2A,2A,Pública,Quartzo,4.9800714287000005,5.0,3.0,6.6428571430000005,0.0,5.635,6.666666667,6.606666667,-1,Cursando,7.5177707180986655,6.5855,Ametista,Agata,3,0
RA-698,Aluno-698,10,Masculino,2021,2A,2A,Pública,Ametista,7.3363190476,10.0,4.5,8.3214285715,9.002,6.88,7.291666667,7.273333333,0,Cursando,7.440048629629629,7.553616667,Ametista,Ametista,3,0
RA-1452,Aluno-1452,12,Masculino,2024,2A,2A,Pública,Topázio,8.6268666667,10.0,7.75,10.0,9.002,7.51,7.916666667,8.17,0,Cursando,,,,,0,0
RA-1453,Aluno-1453,12,Feminino,2021,2A,2A,Pública,Ametista,7.1234857143,5.0,6.5,7.8214285715,8.502,6.25,7.5,7.67,-1,Cursando,,,,,3,0
RA-1454,Aluno-1454,10,Feminino,2023,2A,2A,Pública,Ametista,7.7042238095,10.0,7.75,5.880952381,8.002,7.51,7.708333333,8.28,0,Cursando,,,,,1,0
RA-1455,Aluno-1455,12,Feminino,2024,2A,2A,Pública,Agata,6.6442555555,5.0,3.5,7.777777778,8.002,7.51,7.708333333,7.833333333,-1,Cursando,,,,,0,0
RA-529,Aluno-529,14,Masculino,2021,2A,2A,Pública,Quartzo,5.2661285715,5.0,4.25,6.6071428569999995,7.002,4.38,4.791666667,4.886666667,-1,Cursando,6.510225610194904,7.278991667,Ágata,Ametista,3,0
RA-1456,Aluno-1456,11,Masculino,2024,2A,2A,Pública,Topázio,8.492914285800001,10.0,7.75,9.511904762,9.502,7.51,7.5,7.946666667,0,Cursando,,,,,0,0
RA-1015,Aluno-1015,11,Feminino,2023,2B,2B,Pública,Agata,6.643252381000002,10.0,4.0,7.8214285715,7.918,7.51,6.041666667,5.66,0,Cursando,,7.538908333,,Ametista,1,0
RA-483,Aluno-483,13,Feminino,2021,2B,2B,Pública,Agata,6.578604762,5.0,5.25,5.6428571430000005,8.502,6.26,8.125,8.056666667,-1,Cursando,5.262717116883117,6.3972,Quartzo,Agata,3,0
RA-497,Aluno-497,15,Feminino,2021,2B,2B,Privada - Programa de apadrinhamento,Quartzo,4.4960809524,5.0,1.0,6.095238095,7.502,5.63,5.625,3.506666667,-1,Cursando,6.322731276895944,5.7191,Ágata,Quartzo,3,0
RA-1457,Aluno-1457,12,Feminino,2024,2B,2B,Pública,Agata,6.0197761904,5.0,2.75,8.0357142855,3.498,7.51,7.291666667,7.663333333,-1,Cursando,,,,,0,0
RA-688,Aluno-688,11,Masculino,2022,2B,2B,Pública,Topázio,8.986533333300002,10.0,7.5,10.0,9.502,8.13,8.333333333,9.45,0,Cursando,7.771092108287961,8.0442,Ametista,Topázio,2,0
RA-696,Aluno-696,10,Feminino,2021,2B,2B,Pública,Ametista,7.482680952299999,10.0,5.25,7.845238095,7.418,7.51,7.708333333,8.0,0,Cursando,7.441449523187053,7.172666667,Ametista,Ametista,3,0
RA-1458,Aluno-1458,12,Feminino,2024,2B,2B,Pública,Quartzo,5.879073684200001,5.0,3.25,7.280701754500001,8.751,7.51,6.041666667,5.213333333,-1,Cursando,,,,,0,0
RA-1034,Aluno-1034,11,Masculino,2023,2B,2B,Pública,Topázio,8.0333666666,10.0,7.5,8.0833333335,7.502,7.51,7.708333333,8.223333333,0,Cursando,,7.9642,,Ametista,1,0
RA-491,Aluno-491,12,Masculino,2022,2B,2B,Pública,Agata,6.995247619100001,5.0,5.25,9.011904762,7.502,7.51,7.083333333,7.166666667,-1,Cursando,7.4611133333333335,7.560533333,Ametista,Ametista,2,0
RA-1027,Aluno-1027,11,Feminino,2023,2B,2B,Pública,Topázio,8.220866666700001,10.0,5.25,10.0,9.502,7.51,7.916666667,8.39,0,Cursando,,7.748866667,,Ametista,1,0
RA-1023,Aluno-1023,10,Feminino,2023,2B,2B,Pública,Topázio,9.498580952300001,10.0,9.5,9.511904762,9.502,9.375,8.958333333,9.563333333,0,Cursando,,9.1342,,Topázio,1,0
RA-686,Aluno-686,11,Feminino,2022,2C,2C,Pública,Topázio,8.040259523700001,10.0,7.25,8.7857142855,8.002,6.885,8.4375,7.503333333,0,Cursando,7.728843833635814,7.9642,Ametista,Ametista,2,0
RA-480,Aluno-480,12,Feminino,2021,2C,2C,Pública,Ametista,7.260202380900001,10.0,5.0,8.0714285715,6.25,7.51,7.8125,7.443333333,0,Cursando,7.502401434343434,8.226408333,Ametista,Topázio,3,0
RA-1459,Aluno-1459,12,Masculino,2024,2C,2C,Pública,Agata,6.665390476100001,5.0,3.75,8.2976190475,8.002,7.51,7.5,7.273333333,-1,Cursando,,,,,0,0
RA-1460,Aluno-1460,12,Masculino,2024,2C,2C,Pública,Agata,6.784805263200001,10.0,3.25,7.460526316,9.502,7.51,6.875,6.27,0,Cursando,,,,,0,0
RA-1017,Aluno-1017,12,Masculino,2023,2C,2C,Pública,Ametista,7.345521428500001,10.0,5.0,7.8095238095,9.502,6.26,7.1875,7.443333333,0,Cursando,,6.505333333,,Agata,1,0
RA-499,Aluno-499,12,Masculino,2021,2C,2C,Pública,Ametista,7.5794738095000005,10.0,4.75,9.0476190475,8.502,7.51,7.1875,7.5,0,Cursando,7.826390666666667,7.8883,Ametista,Ametista,3,0
RA-514,Aluno-514,11,Feminino,2022,2C,2C,Pública,Agata,6.219580952400001,10.0,3.0,7.595238095,9.002,4.385,5.625,5.996666667,0,Cursando,7.0388891111111125,5.823133333,Ametista,Quartzo,2,0
RA-1461,Aluno-1461,12,Feminino,2024,2C,2C,Pública,Agata,6.871961904800001,5.0,2.75,9.273809524,10.002,7.51,7.5,7.33,-1,Cursando,,,,,0,0
RA-1462,Aluno-1462,13,Feminino,2024,2D,2D,Pública,Ametista,7.6243666666,5.0,6.5,10.0,8.502,7.51,8.125,7.053333333,-1,Cursando,,,,,0,0
RA-1463,Aluno-1463,12,Masculino,2024,2D,2D,Pública,Topázio,9.074561111000001,10.0,10.0,9.722222222,8.502,7.51,9.0625,8.113333333,0,Cursando,,,,,0,0
RA-1464,Aluno-1464,13,Feminino,2024,2D,2D,Pública,Ametista,7.288424359,5.0,6.25,7.794871795,8.002,7.51,9.0625,7.61,-1,Cursando,,,,,0,0
RA-687,Aluno-687,11,Masculino,2022,2D,2D,Pública,Topázio,8.2739844611,10.0,7.25,9.2355889725,7.502,7.51,8.75,8.003333333,0,Cursando,7.703185605565638,7.617533333,Ametista,Ametista,2,0
RA-1030,Aluno-1030,12,Masculino,2023,2D,2D,Pública,Ametista,7.7401916040000005,10.0,8.0,8.28320802,7.418,4.385,7.8125,7.61,0,Cursando,,7.4027,,Ametista,1,0
RA-1465,Aluno-1465,12,Masculino,2024,2D,2D,Pública,Ametista,7.3344666666,5.0,5.75,8.75,7.418,7.51,8.75,7.833333333,-1,Cursando,,,,,0,0
RA-522,Aluno-522,11,Masculino,2021,2D,2D,Pública,Topázio,8.6777119048,10.0,9.0,9.523809524,8.002,7.51,8.4375,7.89,0,Cursando,8.306255790104949,7.890533333,Topázio,Ametista,3,0
RA-501,Aluno-501,11,Masculino,2021,2D,2D,Privada,Topázio,8.2779474937,10.0,8.75,7.9949874685,7.002,7.51,8.4375,8.17,0,Cursando,7.794468490299825,8.1357,Ametista,Topázio,3,0
